timestamp,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x0EeE7bcE7D0A676794fb8186AF5DBe7b6713806a,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x0bc7355686A264DEDDc239dD30D4D201612aEB8B,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,​0xD8595ac2836B7a8040f046E751B42088436B6365,​0x54bc3fE4E8C377246aCd5b4c25705c1b4324e859,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0x8c2fD1F3Ae6162FD3CB3157222DC3979B42E699e,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x5D154c145Db2ca90B8aB5e8Fe3E716AfA4AB7Ff0,​0xF79Af034a5E41d70C90Bf5fFa1A79B3AC65Da72F,​0x13032DeB2d37556cf49301f713E9d7e1d1A8b169,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x2AF14b279C08d3627D34A5d8734c2eD771F3eF41,​0x57Ef012861c4937A76B5D6061bE800199A2b9100,​0x618b00849b3B0D42F05f7B4A64ae373B93e3d98F,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,​0x040F0c01b45Dfed88A397f9C3f00E48953d61490,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x0087366b4a4e44FCB96b7D0897d68C3dAf45780a,​0x2608E261b8df00025a6f69e13B1a4165Adf294c1,​0x74740c72e7b667344084772D2fdBB4646099c705,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x747797665F5016895682EF40513A5EDD51261B89,​0x90079aABC47b5BeA2dFC358d7114Ade57Ee39209,​0x05BB2C35cB56E149c310c5c1447d382eEda3A80d,​0xe1723E41058cb01859E9826022a390DC68a9AB71,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0x074976a8D5F07dA5DADa1Eb248AD369a764bB373,​0x00B8FE7C85998bbAB5e71D2378e927B554b6d78f,Other
1555608237000,,,,23.04,,,,,,,,57.50,10.05,110.96,,,,,,,,,,,,6.98,4.52,,,,13.72,,,,,,10.03,0.03
1555674728000,,,,2.01,,,,,,,,26.14,,13.79,,,,,,0.02,,,,,,,4.02,,,,,,,,,,,0.57
1555741612000,,,,,,,,,,,,6.80,,23.22,,,,,,,,,,,,,2.00,,,0.06,4.00,,,,,,,
1555809867000,,,,5.02,,,,,,,,13.38,,32.66,,,,,,,,,,,,,,,,,5.02,,,,,,,0.58
1555876621000,,,,30.05,,,,,,,,25.32,,63.45,,,,,,,,,,,,,3.75,,,,16.02,,,,,,,2.88
1555943613000,,,,7.00,,,,,,,,6.21,20.06,74.22,,,,,,,,,,,,,14.18,,,,5.00,20.03,,,,,,0.78
1556011928000,,,,5.60,,,,,,,,8.35,,21.21,,,,,,,,,,,,,1.69,,,,4.01,,,,,,,4.70
1556079702000,,,,15.24,,,,0.61,,,,60.54,10.04,183.13,,,,,,,30.01,,,,,,7.20,,,,24.70,,,,,,0.77,0.01
1556147660000,,,,,,,,,,,,42.54,4.80,60.21,,,,,,,,,,,,,5.51,,,,0.25,,,,,,,5.35
1556214175000,,,,,,,,,,,5.03,40.54,,73.12,,,,,,,,,,,,,3.01,,,,17.40,,,,,,,0.03
1556281668000,,,,3.60,,,,62.82,,,,84.37,10.07,63.54,,,,,,,,,,,,,15.55,,,,26.00,,,,10.06,,,10.75
1556348416000,,,,27.82,,,,,,,,39.50,20.09,113.01,,,,,,,,,,,,,8.67,,,,13.00,,,,,,,4.34
1556415030000,,,,,,,,,,,,41.77,,40.10,,,,,,,,,,,,,0.69,,,,10.11,,,,,,,10.10
1556482542000,,,,4.58,,,,,,,,7.58,,60.52,,,,,,,,,,,,,,,,,,,,,,,,
1556549842000,,,,,,,,,,,,23.97,,48.67,,,,,,,,,,,,,,,,,6.00,,,,,,,2.59
1556616633000,,,,,,,,,,,,27.14,,182.53,,,,,,,29.26,,,,,8.78,,,,,4.00,,,,,,133.95,
1556684172000,,,,9.55,,,,10.05,,,,33.98,10.04,97.37,,,,,,,10.00,,,,,,,,,1.87,13.90,,,,8.04,,,0.00
1556750704000,,,,11.00,,,,,,,,13.82,10.05,30.30,,,,,,,,,,,,,,,,,3.90,,,,,,,5.32
