timestamp,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xE2E280Cbc2bbDE6E3d98BD35c6fc01f7ac2Caa50,​0xA2dCa4ad21fd58e4ECfb4b507Cd25c0b3c71DfF4,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x6eA0C79767C9734FdB5461D4f5c7283D839212C0,​0xA5f1804dC8d7787A3c63d63c58B7D7652d13f345,​0x45FAC1A12Bc8899038cfA61BdE31017ad39Ef7BE,​0xC9dC408fEF73a7d3bBA132F1313aB6A058d06394,​0x0D8B63dfD61f98B7A488DEA9B47BE46F78F1A66F,​0x7981bcf1D85748b9D7B73583766b924DfF21a169,​0x95328D98630779834f3e46f78F900042bC2bDD15,​0x17bf34a8ec5d087480DE409986B95277B3f1eBE7,​0xF26400E109d5782C115f5cD8b8A31A96501AaD04,​0x8B190A162E643760D91A02FB35Dcec858C4E51DC,​0xf18526d01f9fA91f8c138200cfd773F0D8b2Bae7,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0xc2cC740Ccc723Cb70E373Fc0bb98e4B6Df9D2D23,​0x48143eC3AcA8A255496e8ee7997591D3335Abf5f,​0xcc6f0c43FdfD6aEE9e301db1a291e725Fd0Aecb0,​0xB42C464652683B3e8C725e9AEAE096c3179a4A5c,​0xfB463cFD9B3f864603B68Bdb32713F48FEd0CeE1,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x351341011858BA3e28392Bb1f49A6f759637c003,​0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,​0x34B814F416e6811877D65ef51C4443198c1e000E,​0x954cA028b02F2E13f1A75333cB1967eA7eAaeaEB,​0x85a1Cd429B59dA017Cc855aEA2F72dBD25B1F0b1,​0x72338b82800400F5488eCa2B5A37270ba3B7A111,​0x263FC4d9Eb6da1ED296ea6d189b41e546a188D8A,​0xFB40932271Fc9Db9DbF048E80697E2Da4AA57250,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x4E708ebF24255DdE05d8E737D818aF2eC4813912,​0x0c8eaFa5E8c3a68199604D3fA294826a4040C4B5,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x00aDa5bf8Ef794fDD916BdC06e032ac1613DFfA3,​0xAc634149b12075C9861BB7Ce0Fb04e9B0fB2FFCA,​0x38F2cDD0Ea4b38dBed40A36530313A5D89638858,​0xAb901F71988c64541932bba8D243Bc23c3849561,​0x30AFF1d3795D0a529A32c7CFFFd496d004078482,​0x0bD4A90F7e9886B67d9c51b2544314f56a046093,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x134433F46fEC5e1b8BAaD8Cc8a51B2647F86B638,Other
1572962724000,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
1573031855000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,
1574534614000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,
1574906610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,
1576056123000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,
1576132843000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
1576713534000,,,,,,,,,,,,,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
1576799699000,,,,,,,,,,,,,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
1577229621000,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,
1577315631000,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577402327000,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577746179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.00,,
1577918935000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577997589000,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578195701000,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
1578261907000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
1578327837000,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
1578393679000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
1578526345000,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
1578724741000,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,
1578923015000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
1578989540000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579453251000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
1579584998000,,,,,,,,,,,,,,,,0.12,,,,0.00,,0.08,,,,,,,,,,,,,,,,,,,,,,
1579717286000,,,,0.10,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579783170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
1579848954000,0.01,,,0.07,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
1579915579000,,,,,,,,,,,,,,0.05,,0.12,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,
1579982233000,,,,0.10,,,,,,,,,,,,0.12,,,,,,0.02,,,,,,,,,,,,,,,,0.04,,,,,,
1580114658000,,,,,,,,,,,,,,,,0.14,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,
1580579921000,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,0.01,,,,
1580645575000,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
1580711822000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
1580778615000,,,,,,,,,0.24,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580844182000,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
1581177428000,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,0.11,,,,0.21,,,,,,,,,,,,,
1581243665000,,,,,,,,,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581375300000,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581508790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581707956000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
1581774043000,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,,,,,,,,,,,,,,,,,
1581841298000,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,
1581907086000,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582106715000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
1582306851000,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582372667000,0.00,,,,,,,,0.02,,,,,,,,,,,,,,,,0.10,,,,,,,,,,0.03,,,,,,,,,
1582439543000,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1582904573000,,,,,,,0.05,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
1582970808000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584168330000,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584434720000,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585969610000,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586434964000,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586568529000,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
