timestamp,​0x604d4F69e121178f6a91262eDeB54c19C5e3b539,​0x78A55B9b3BBEffB36A43D9905F654d2769dC55e8,​0x0b5649ac68B288D9f4577B97d36ebF3cb058C2E7,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x0000000000000Eb4ec62758aaE93400B3E5f7f18,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0xfc1b61Aebe657d33DF261DB89AADd767515600C6,​0x3B3C74C5aE9415CEa88C81014B80979a61b7B464,​0x5A1CbD3227277fAe4f3ABd4d091E058de50e6Ac4,​0x7D77e6Fe8cd921e4A89ad735A3A722b1f84dc32b,​0xf08f1bdFBA4358Ba7738f2F2b09738a13cCDf04C,​0x31e982D2fDE760a0780E246e6479608D838db27b,​0x66ace6CAa9Ec944735F73ed592a5E1ed22293F3a,​0xdA92e1b8F5545546965b985098F1BE1edEc9b9Be,​0x1164236009849Feec5F941f6F652ee6928Bdc7bb,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,​0x8F193b443f05aAd921F262DA36d3Dde6c7ADFE9a,​0xaed8810b3f7367d63a6d6fD86dfb1878552D9D07,​0x82Ea7356518127A961923f46b49E0251F6843409,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x4e6F2b5e8d84AF5c5ff21Dd7e376BAf6B17e3dea,​0xA824233b7956DB5bAFA5a2CB813C1414A6Fa3E67,​0x47e9FD7fd1355df5D76BC4a56166543c5EAD3940,​0x7B6E5278a14d5318571d65aceD036d09c998C707,​0x97deC872013f6B5fB443861090ad931542878126,​0x4c4D6FB5234E748F9d8782E37E686FBfe52dC765,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0xF1Ad4BFDF8829d55eC0Ce7900EF9d122B2610673,​0x440ba0D649D2FC64b34BeCf8B211595780c9feFe,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x3308084b16C72C4E6912F33fB204BfB7584e0E9e,​0x2130FD01026867A6c8DdE24ad5E64F2e2DFce196,Other
1587434258000,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,
1587701744000,,,,,,,,,,,,,,,,,,,,,,,11.69,,,,,,,,,,,
1587768625000,,,,,,,,,,1.00,,,0.15,,,,,,,,,,,,,1.17,,,,,,,,
1588104246000,,,,,,,,0.10,,0.10,,,,,,,,,,,,,,,,,,,,,,,,
1588638430000,,,,,,,0.11,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,
1588906152000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,
1588972800000,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,
1589509055000,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,
1589711000000,0.24,,,,,,0.06,,,0.22,,,,0.11,0.36,,,,,,,,,0.72,0.11,,,,,,,,,
1589778055000,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,
1590316431000,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,
1591122115000,,,,,,,,,,,,,,,,0.97,,,,0.29,,,,,,,,,,,0.27,,,
1591189759000,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,
1591256276000,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,
1591389945000,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591658478000,,,,,,,,,,0.09,,,,,,,,0.11,,,,,,,,,,,,,,,,
1591725334000,,,2.00,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591793059000,,,1.98,0.34,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,
1591859571000,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,
1592060020000,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592193218000,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,
1592861502000,,,,0.23,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,
1593062546000,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,
1593396882000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,
1593933211000,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
1594067228000,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,
1594266589000,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,
1594935634000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,
1596140024000,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,
1596540683000,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,
1596874169000,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,
1597140607000,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,
1598469678000,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,
1598602302000,,,,0.37,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,
1602732764000,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,
1602799114000,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
1604457123000,,0.69,,,,,,,,,2.39,,,,,,0.39,,,,,,,,,,,,,,,,,
1605849265000,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,
1606446290000,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606644580000,,,,,0.38,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,
1607043153000,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,0.14,,
1607640980000,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,
1608106809000,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,
1608372164000,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608504061000,,,,,,,,,,,,,,,,,0.18,0.67,,,,,,,,,,0.36,,,,,,
1608569893000,,,,,,,0.48,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,
1609100774000,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609630001000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,
1610227531000,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,0.25,,,,
1610426201000,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610956120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,
1611089195000,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,
1611553245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,
1611619442000,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
1611685824000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611752604000,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,
