timestamp,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0xC6581Ce3A005e2801c1e0903281BBd318eC5B5C2,​0xd8Bd70DAF91Ddb37eBea0514852ffD0190a409A7,​0xF1Ad4BFDF8829d55eC0Ce7900EF9d122B2610673,​0x19b7380f7525AD5cEEAe803eA9C1651C4ccd4945,​0x5352F31737be2CA2562f04945dd7Fb88652B0039,​0x96693870AAf7608D5D41AE41d839becF781e22b0,​0x51060515c2f69820aA1A549569a01804638FDb4D,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x927Dddb44B411f36eA3817eB5D4500c74662D343,​0xeBD8AA50b26bFa63007d61eBa777A9DdE7e43c64,​0xAecdA292d7a976746E1660650724fB932d4BB35E,​0xd270554025D7e33f30AC1ec045eEc1b235d10d38,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0x2b86D0A954C27Ea5DF3868C66f4d24b6cfb0f302,​0x0985224a811E65c235DBF4a2C2117712AABe4e39,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0x728BbE9bbee3Af78Ad611315076621865950B344,​0xb7520a5F8c832c573d6BD0Df955fC5c9b72400F7,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xd474B005AF5e44627D5b8eF8F3c181D99dc0c724,​0x5C15BE94476F4433303873BE5D3fF8A03817107E,​0xFE5DC33fC5296D056C1B8d0d29b6cCaD51c9634B,​0x84300dCc7ca9Cf447e886fA17C11fa22557d1AF0,​0xD7015A5a2D6AB8BCDC8278dBCb361C0fDcB9D7aA,​0x7B6E5278a14d5318571d65aceD036d09c998C707,​0x3586F8eD699EBAd8404F324BC9A4435c1c5ad75a,​0x236B80070c54E99E6DF5f08664a73eE0ffF94A2B,​0x8a542EEBa24aD9aE50FEF7924A32D5daCFddfcc4,​0x896e27aF0e16272cBa77B44dBa5d785e9B33dCaf,​0xD98C3B08221cA4D39Bd3050b48F21E79746e46eb,​0x73d52Bf205839bB5B090aD68D8691A2462492bf1,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x74C8c6Ce9766C5f77e3E1aD5c75FE7Da07199fC8,​0x1ccA968BFF57EffDBd1aA6FDE5c58f48d2a3bFe6,​0x8Ebd10FE696288c6ED1E024064FDF54541Aa63e0,​0x4aA856230692dC6B8Cb9F5afc90593dbCf5a09C7,​0xE8bEA818de87dD3E5cE9547120936c822b5B9502,​0x8D6C4B72E13eD760E5DB8aE182685b0bBfE0790F,​0xE0aBA8291C1A83B2310d2D3036eA64f907CC7eA3,​0x762ed657B76372F8C08C6f7E0Aa4170658C4CA35,​0x804172a4588E5D46D7C1759c9ce84162c68A17A6,​0xF4C05b5523e8b4dF8220E32f9638CB4b707CF4b7,​0x46E68f4ddDee9e7B8d5fCA7Ed053653e7182A487,​0x6f0e26acB8D20A6356C98a5bb6E28e6D8deFc29B,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0x56C291C748fF06F18Fc46c2E894d036B25bA01D4,​0x1f50cC72Ba3C129FA0d56A7F4dDaa532Cb6a0c23,​0xeF5e089fB126AA0207Dbc6ae619C9E51Eb3bAAfc,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x7D2bC5bffbBA520e202aCDbB0449003a167c50D7,​0x280b015A37d3F315EBB1a7E2Fc503f2f16162e0b,​0x3AC9bf13d46A6fa8f17f0e68A9C02ddDe2361c16,​0x4E73391AC524BE8F7C5aE1B9eE79C078d911B777,​0xe3406e7D0155E0a83236eC25D34Cd3D903036669,​0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x4206C2e2cAAa980277945051BE689D78A55f7aB3,​0xc87e45118ae5D772CC5178AFc9B5b96C3EC5126d,​0xAB8e2b05ec42cde3d4921E75aE2CF2363E43f8e7,​0x742B278560F91C762ad1f0580b37Ec3C91592099,​0x930276a68ED38334913bC318484BF93c5DDBA5fF,​0xE33C8e3A0d14a81F0dD7E174830089E82F65FC85,​0xc7fbA841c48e84D26108B494d7BaB4B2697cC278,​0xFc000cBC6744CF5EafcBE7140a2B2976cC15Bc67,​0x692D89622C3e6F36DD898Fc32C6568eA0eD00ceE,​0x6AB46c54BbE962Af613255aeA7f5Cd837B87C0Bc,​0xE6a9F1154C2B6038746eAbaD9640B2C3dAad8768,​0x9021C84f3900B610ab8625d26d739e3B7bFf86aB,​0xad369dF9D558D9FB50F87E2F82E9452977730491,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0x656329D19406870E2AA4D100ca8b46B336217e9B,​0xFCD550C994BB757125238a616eBD65C3DFD58405,​0xE24e2C58A76efC5AE64Ed690bF32DcfD6B33BF37,​0x16027fCA7230f8C5cD7dd8cf4a3AB6Ec61238C20,​0x40A7cb7052C274Cc2E568c324B4c5D94383bec4f,​0x2144E1299b1B8e98c672E22b433fF25A9631c90c,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x34A2fCE349311114317353ab4B798fa11cCfef57,​0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x97deC872013f6B5fB443861090ad931542878126,​0x69d2Ef13941c49da81761F8F6df9776a90843562,Other
1571103316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582439543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582571821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583235956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1589644333000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,
1589711000000,,,,,,0.61,0.28,,,,,,,,,,,,,,,,,,,,0.58,2.04,,,,,,,,,1.16,0.12,,,2.07,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,
1589778055000,,,1.85,,,0.30,,,,1.00,,,,,,,,,,,,,,,1.70,,0.19,0.07,,,,,,1.03,,,1.74,,,,,,1.00,,0.49,2.10,,1.87,,,,,,,,,,,,,,,,0.26,,0.65,,,,,,,,0.15,,,,,,,,,,,,0.04
1590248502000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,0.08
1590316431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,0.14,,,,,0.00
1590451139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,0.04
1590652494000,0.21,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,0.05
1590719602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
1590786531000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,
1590853669000,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.13,,,,,,,,,,,,,,,,,,,0.05
1590919824000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.09,,
1590987649000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,0.17,,,,,,,,,0.23,,,,,,,0.17,,,,,,,,,,,,,
1591054955000,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,0.05,,,,,
1591122115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,0.09,,0.05
1591256276000,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,0.04
1591323776000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,0.03
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1591524138000,,,,,,,,,,,0.49,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591590964000,,0.70,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,
1591658478000,,0.13,,,,,,,,,0.24,,,,,,,,,,0.53,,,,,,,,,,0.58,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591725334000,,,,,,,,,,,,0.43,,,1.03,,,,,0.04,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,0.91,,,0.12,1.01,,,,0.12,,,,,,,,,,,,0.10,,,,,,,,,,,0.02
1591793059000,,0.26,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,1.97,,,,0.60,,,,,,,,,,,,0.76,,,,,,,,0.53,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
