timestamp,​0x6d7487f757E557EfB6C94e788Fa424878Ce001D1,​0x628229797186d87afE655808dc7fC4a1af222f9a,​0x31ED202F38072C3C5c9f0b02B06418fDae30abED,​0x7a4Bb37349a6660c653662F3Ab28DbaB4a96f7ab,​0xc78a748DcCBD806ae782EB3b8590ae7d162E5A90,​0x5295b474F3A0bB39418456c96D6FCf13901A4aA1,​0x9980C46c5Ffd0ea4713EFB63B24443EFddDccb99,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x13734b9A36D34435e00418B248faD741580B7ac9,​0x617096ec92315d6A23a5ebDCf4f1Fc3A8C59E5d5,​0xA21F50c29B7Cda4ea69c2E22baeE4A930757A5dC,​0x4C0a466DF0628FE8699051b3Ac6506653191cc21,​0x3d0F27aAa083262E5Ec590c5e9db4B2dFe4732ff,​0xa99FEB7b084eDEd2De4B51B37a31C1D8564c66A4,​0x82aa7f697B9Bc19F286D286D130405c0850A2E7B,​0xa630a5e1DE380b2066e765DA8aA5EC4E47b70BCB,​0x16021EE5520B5f425d7573b4B7E5Ea8C64B504Ec,​0x44ed6EaBEd21874c71C4D0a717A29784d78Ed19C,​0xf075522D1BCa999aD1466c7a7d2FB160bf156b15,​0x23ABb5FE2Bdd8362A521816EB495021681253264,​0x7777777d56309Ea59568e5EC24c1705bDD5EcA28,​0x715fb4725682011281f33ADc5d332d5F69359601,​0x8eE9bE167874BE39fE3B41e09A5166Ff283FE21A,​0xDE7e3ec4442Ba87247797BEA433985449EDEA893,​0xfad23a0AF578ca6F62Fc4705FeF3f5A8CD0555eE,​0x9D661f7773Be14439b4223F5b516bC7Ef67b0369,​0xf3b34fDe8a2293D7f74E8CA95Ae7950ea7916b62,​0xDbBB5d94B1bE39E2d021A18f97Aa55DCC422e60E,​0x67049458b572Ec6D49771c4d92661BDE4228FF8b,​0x36fAa1e49fF125ac72ceae0d5a2E35bC9aDD6591,​0xFC143f933BAdBEfe4E769047745cc23E02DE0E90,​0x3fd76d761D36ABA8fE0bAfD50825EDB72ECD27e0,​0xA916B82Ff122591cC88AaC0D64cE30A8e3e16081,​0x3e236Ec7A98F53CC0129FC0eB71f9A1DCa04B62B,​0xdC2Cf5cBFa31958ED32c3aCE696eE6Bf1A6a19f4,​0xb55daF0e6D1b535b34A370ed764d105c57d1fF78,​0xAa96F8b1D9c62C557375EE5719A91E4ebe6b5cEc,​0x8e9818E75ea25d0162F4998E033eae28cDDc231e,​0xBEa91b01d5E6A7bca63D9FBe0C393Fa8964d2544,​0xbb324B6926Bb6e524a1F2A669a936F3D130aCa08,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x1e37151E37C1Ee4B931fE7eb33F51146dD77AbEd,​0x7880C064C12b8868405Be6E6B9c89b757D0969b6,​0xA1bD817e13ED6Bb524ED491cff76C83aFEC773Ac,​0x059aD96E38f027ccD127567dc09B164762bcd695,​0x257cb82C6F915931b6336a4C0EBeFd41C4d17F47,​0xa018fEB6840781436e5440De92F91659bCE036b6,​0xEC3281124d4c2FCA8A88e3076C1E7749CfEcb7F2,​0xBB08907e853b48c9F0902f6ba9e3f18BE88a8D24,​0x8f839C0CD16f4DBeD862c1C639B6634498feDeD0,​0xA33d71E74195AF75d741CE1307943Ab27199B06f,​0x49D776Ed2D6FCFe2078805B18EA6fd01ca6D1266,​0x9A3187e2BDAA837896ad75BfFfF0742fcd2eF505,​0x283Eec5A3EB0cAA4Dd00d33e7ad7fd57115E199d,​0x33114b7923EbD54BAee4121b3557448cb6a9b716,​0x4ad610b4A338c9d1c4820ecc53ebC68d35b35962,​0x8cF63bfFaF3A55Eb59a5e613826aFa14CF3f64a1,​0x1AB5b6Ba4A187630715309f5D90d2cfCA750BA2A,​0x2577A8539cb2194ACD72f035dbB691ce5F406d3F,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0xd59e99927018b995ee9Ad6b9003677f1e7393F8A,​0x7aa8503D8910B6A97Cb95D7629014B448Ade9528,​0x2dBcFD1Af175636cD202D6BBd29b5d3901c9C3CF,​0x0Da07e67c2cA3A3cfCB58aF115e1C0ed64f69f96,​0x12e9D2C2BD38ca6783428aE3341E1eb0F447168a,​0x65d25E3F2696B73b850daA07Dd1E267dCfa67F2D,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0xC73Add416E2119d20cE80E0904FC1877e33EF246,​0xc74fBDeB6e1a10965e895AD259ecDb91eAD04BDb,​0x1EbcDEFD37Bd8a0329fe3AF35421430190DdBc59,​0xB9b8EF61b7851276B0239757A039d54a23804CBb,​0x9166eB20928F03F417431F24F34EAAaB705E410A,​0xaDE00BeD371F52469077198a162a7Af17835C843,​0xbD97Df15FbBb59927f31a13cEeB19b2ba39aE019,​0x6E8B36A8BAD460e0657A7D7c0d9A8C075F3E595F,​0x118547b5b45CDB4459410Fb41e25472A482BbD20,​0x642fEb5D849EE63A84c13F48156eEE30d56bf249,​0x47b306c725FE30223663189701e1c336FEC2F520,​0x36bADbBCeCE75AEdcA677128346Db86a1c8eC0c1,​0xe6C8382EC2cb73F04CE10C982A4B337a19f63A31,​0xf3b64c150f0cE4119fb95102F526B4ad7c7C0444,Other
1557494292000,,,,,,0.50,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,1.00,0.01,,,,,,,,,,,,,,,,1.35,,0.03,,,,,,,,,,,,,,0.10,,,,,,,,0.10,,,,0.01,,0.15
1557561044000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.10
1557628854000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1557695794000,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.16,,,,0.57,,,,,,,,0.15,,,,,,1.00,,,,,,1.37,,,,,,,,,,,,,,,0.17,,,,,,,0.50,,,,,,,,0.11
1557763956000,,,,,,,,,,,,,0.15,,,0.12,,,,,,,,,0.10,0.04,,,,0.10,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,0.21,,,,,,,,,,,,,,,,,,,,0.05,,,,0.12
1557830231000,,,,,,5.31,0.00,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,0.00,,,,,,,,0.49,,,,,,0.00,,,,,,,,0.03,,,0.05,,,,,,,,,0.39,,,,1.00,,,,,,,,,,,0.00
1557897304000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.20,,,,,,,,,0.05,,,,0.04,,,,,,0.01,1.96,,,,,,,,,,,,1.00,,,,,,,,,,,0.02
1557964138000,,,,,16.19,,,,,,8.83,,,,,,,,,,,,3.31,,,0.01,,,,,,,,,,,,,,,0.65,1.91,3.71,,,,0.01,,,,,0.21,,,,,,,,0.30,,,,,,,1.50,5.81,,,,,,,,,,,,,,0.04
1558032652000,,,,,,,1.11,,,,,,,,,,,,,,,,,0.04,,0.00,,,,,,0.24,,,,,,,,,,,0.06,,0.10,,,,,,,0.49,,,,,,,,,,,0.40,,,,,,,,,,0.69,,,,,,,,,0.03
1558099488000,,,,,,,,,,,,,,,,,0.45,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1558166754000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558234852000,,,,,,,,,,,,,,,,,,,,,,,,1.00,,0.00,,,,,,,,,,,,,,,,,0.06,,,,0.30,,,,,0.27,,,,,,,,,,,,,,0.20,0.09,,,,,,,,,,,,,,,0.03
1558301987000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.01,,,,,,,0.50,,,,,,,,,0.10,,,,,,,0.01
1558370897000,,,,,1.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,
1558438516000,,,,,,,,,,,,,,0.62,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
1558506088000,,,,,,,,0.06,,,,0.67,,,,,,,,,,,,,,0.00,,,,,0.10,,,,,,,,,,,,,,,,,,,,,0.25,,,0.33,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.04
1558573856000,,,,,,,,,,0.33,,,,,,0.14,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1558641898000,,,,,,,,0.13,0.20,,,,,,,,,0.30,0.17,,,,,,,0.00,,,,,,,,0.31,,,0.33,,,,,,,,,,,0.33,,0.25,,0.28,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,0.05
1558709678000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1558776750000,,,,,,,,,,,,,,,0.38,,,,,,,,,0.01,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.03
1558842948000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
1558910067000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558977860000,,,,,,,,,,,,,,,,,,,,0.25,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559045953000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559112912000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1559179166000,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1559247339000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1559315112000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1559382148000,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.10,,,,0.22,,,,,,,,,,,,0.02
1559449529000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559517685000,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559586560000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559653274000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559721446000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.02,,,,,,,,,,
1559788436000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,0.15,,,,,,,,,,
1559855826000,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,0.05,,,,,,,,0.15,,,,,,,,,,0.00
1559923832000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559991921000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
