timestamp,​0xf3dffe4f015B4F35215614Fc6c0c125E6847b53F,​0x7B6E5278a14d5318571d65aceD036d09c998C707,​0xb0A0782B12a31A98eFe4D107C1567d426526c661,​0x7693Dbb2D2A0C08370762e2d7E17ae1d4083B109,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x896ce022334F4B430Fb09a8eE6F18cEc1755Cd0c,​0x3d9979626D07df08a649Ea51a24556ddD1B7f51e,​0xbbC964Bc6EA03A6AE4Db15C99D69651Ed66DDC26,​0x9F008350A3eb0421ACE4D75D8644CE980A2c99d3,​0xD8650CcD2F8331Cfb9AE9EfceE0CD08175F7F824,​0x30955C39eEe7aA61027dD308dD18673052256779,​0x8a484B58eCA9b69f75D03eD8675Ff76f721ddE77,​0xa9dDc3383Ab709EA54aB5B4f9f89F57E60EB2F4f,​0x9Ca13029232C8f4AAC1D42FaA54A36aDE41aA10d,​0x1643012D171eE3F628A07e5430fFf0b48FA8180d,​0x3FB68F733f898E4eF260e4244965a4C2eaadE126,​0x2DaF5d1E8a8714413d3dedA956Ae3893F8b448F3,​0xCe4571484E3267f69c256120f017DEf92c5fa97e,​0xF8570962075eFFA32dEeEe7D37c0e1009f536e9E,​0xe388594e05663C778C942B7DFf8649B2295f216d,​0x12978B00d93Fa3f0C813560537AA68f1859fDE96,​0xE00Da71C87BeFc0CB4e4b83Ef9abbE754Ca71043,​0x137E1232533Ed914201B04c1C04DAfE3a16a4B8B,​0x093060cA2BAD17946Fc6d73ad7942bb2a808Ac4B,​0x5E44da32DEF74370DaAaf97be9e2862b829D2c71,​0x546919e043471Ab82E8313296890172c1aA22c0c,​0xf53A5B0E2eed4D3542588beF9eAF62cf097a6418,​0x27A2EbBc619E6755224C5b5490012F77667dEAEe,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0xD420208Af83AA561fFf2974714C4456e43Ef1282,​0xaC8164dEEc1A283565492EE529F580C9F857A774,​0x5e90174d9164e1A52f84bDAdA5E35a920d937606,​0x7667bC86a4E28e37070d9077fe96C3C125F8FE39,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0x684CDc6799b3bc9eB5C81849432F3Fcc3bF4B3d8,​0x1f8A6d8185b76F5ac08f335610a2390DAb3225a8,​0x7626684264c4f2c15DF9544f515AA4153398A22f,​0xB73d7Ae52cd14F59E215b09a3187CFDddA4D2cCe,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x778FDaf34BB5993D69968f541152451241Fab7e3,​0xeB65d7302f0382c5690259Fe70b380eB3692B0C2,​0xFB2B1Ff4A80aF6d4F2798E34426E7766626d8F88,​0x969b4C148F459B3353A869531b5b5Cc6C0fAB3b4,​0x11966D9106131309Ed5244e984f60d02918aABC9,​0x88616Cf228FFb3fB8ba336592A79A53De53D05eF,​0x7872E75f29cCC725dBE60F7AeB0950642163047f,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0x99A8e2c1385BE6DDE6Fe6DBABa52b89499415ddA,​0x9f4e1D6Ad9772EC38304AE9eA2Eb7E9742387fB9,​0xED25b12116062500098F361597D72f3Bb27CCA61,​0x2996501051C99b94fDe22DD259342b387706e72a,​0x22363c74CCe85617935Bbc34B53E02e61Ac14664,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0x4d107Be83ef6dfACEda30c4D66aA486974CE1210,​0x5A32ed37080db65E382171Abe37523225E12D178,​0x6f8b9b0828fc62B28f1D744b391D6949fF1F11b1,​0xfc96e234d4B31C63051E707105fCC4aba37807Fa,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x2134F00a5F9D41943e05455CA50E0997E3739847,​0xAc6B7EF97f34dEA69535aF4Ea31ca756c29c5F7d,​0x43a9B60d1466FFa7Cc0e9575E71b97c3aB7ee9AA,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0xEb5d3A91b5E721Fa251E03bda2C9578E90f30f84,​0x384f8FA4F059fbC08a4e4c48fEF1656A82931a9C,​0x9b76F74f6533145C1f7A65a269C8d574f7aDC9E1,​0xB39551D4214237d5344724d6dACaDd9F8bFA1A8f,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x372d2a355C2813E8020c488C049c598338ca6177,​0x7DdD96C8DAf2FBdC6890d8C9f27f1EE5eB31a972,​0x76aB068EFBE48dB6877d7687d4f0d1A2228FBe61,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x8e9cd7DE32C709Eba2925520C5decFF577e36781,​0x2D44988f48D651ea649df93eA83fFfE2e1f777D2,​0x4164699Fc017d968ee6af555E350E21A544afA82,​0x74724aaC94BE7524ea71E1Efa796a49BB26d1743,​0xf19aeB0f2D0F53E6E2F015a7C531f6c271858Ba4,​0xc6E8E6CFE918136A6B8a8bA19a5a8ae1D68B1142,​0x1E9Ad63b9D518d19BeA77392128CC7923d8DE3BB,​0xc8d64ccaF7c8392E56DEdD476931a27082AC4aF7,​0xC568142c63495D9892Adcd82Ed924Feb381CF4ce,​0x1848F4BCeF9eeb9aa4CBC3F773Ce4E8150112519,​0x461Ab6d3cb0cA9bCE4288aB0bf13CfA7c030f0CC,​0x75527548CB6A98E79AdB5f1458a7131EDC6026DC,​0x50bdA015AE50ebD50CB6d3f7A342630aC5F88c1c,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x571b0d7F71D5C22Df0838115d2Bf74851Cd58311,​0x341f78756E0549001dd1A24107A9f54f5ADb271f,​0x52a03D5d2BB8a30585dFc59904C799B27a03A56e,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x5A8242a6D14463Ac98Ef02717cd164eab72d0D01,​0x324ff2036d53faE9222bC03a42735949dD81B79D,​0x43892992B0b102459E895B88601Bb2C76736942c,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xf720514A60507314B42Caf2adFF7317CBfda5e93,​0x5d8160Ae7bE4fE4F8D559c7E8D62E6Ac5e59DE41,​0xE2e457EaDA710ecDf9A01080F7a010D31e338553,​0xA0C2F423F1a7a13dF88E298bEdC815886BF9e14d,​0xF9a515088Af2d62B0Da902eD2aB620feEaf2159b,​0x042dBBDc27F75d277C3D99efE327DB21Bc4fde75,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x5FFDd84DbA7142F66d77fA6E2CD134c9f6C6452E,​0xe2aB5FA7fccBa28a92f16EC72ffDDC285079eb9b,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0x96D1b196a9c6904A7800fAFe8C4162E17628c6AC,​0xa683A5bb040dAdf193A35fAE9D76838ebb635EDd,​0x63980d84831b4Dd30D0e3626F38798755e72a5f2,Other
1557223295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1557291012000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,
1557358549000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557494292000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557561044000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557628854000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,
1557695794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,
1557964138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1558166754000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,1.20,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,
1558301987000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558370897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558438516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558506088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558842948000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558910067000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,
1559449529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1559517685000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,
1559586560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,
1559653274000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559721446000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,
1559788436000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,
1559855826000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,
1560127542000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
1560194172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
1560329676000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,
1560464402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
1560531936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,
1560734814000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
