timestamp,​0x34C1116678B62fD7ca548EeA729D60ab1A566B39,​0x41308f0538D32DaE052e3524C82F47EAe2e560f1,​0x943cA903B72FA50e3f7D22AD51fcfC9662bEe184,​0x8a6E94DAB1A89e3696E6dF0dE08d89e2fb3C0650,​0x7872E75f29cCC725dBE60F7AeB0950642163047f,​0x4E6201F8036f013655394f58b146c537acCc4728,​0x5e1DDd11CcfA137A7b91c103F36C88a3E43F4AB1,​0x5b06b44A66e5345661f6e4596F3A20Da19eec1ee,​0xf87bb0B17330919D2d88EeB59A8C8F3d4AC01041,​0xbd0B1aa70B7a2F4CDEbeBAFeB91477946B5FAAe1,​0xA0db39d28dACeC1974f2a1F6Bac7d33F37C102eC,​0x0c5cEFf56464BD2050f61eDBB793a933AdF1188c,​0xe1770694dD52660515Bc801302F3f75f562Ea7ce,​0xd64A49324d0777121F6a54cC3e9b7821F3eb67f5,​0x2796c6DD53C2D037f66Ce2c422A9e251E242d644,​0x2056E21E416EDd561941cd0E7d055C8Aa6bB87E4,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0x9697E724610505474936ec1382Edceb5AA52F295,​0x9f0574a5F28779A1A682cFE4bbD090ee058d07AA,​0xd16f195C30780E455cCaCe7a369fD41cc4EE3bBB,​0x634e27269A029EdB2b70b5EF43273F5eEd9Ebcc2,​0xC79Fd9BeFd02Ec67CaB3eE2Bae66976c182E4D31,​0x44Ac4E451cebb8eAe8e86FC62BbA12bAE049419a,​0xd6f64c02c14Ac390bf5f772de6CD590f9412bD1C,​0xba29FAF969A0252bc58bAB0c8B3d52B162470345,​0xe0b563867d4160341108ff17890fF49c6DBc4b1F,​0x8D607eE98F5be22344B093affA938F2f02208962,​0x3bf03010cB0fF616E2A9806EFee4920FF67CB651,​0x85FABd88de3668B81A7aE7d4eE954378A97433f6,​0xb44d3B0507E69F7fD3683fB4EC3bDbB7cca0Ae25,​0x74eC638D8e82ab4e7aACAC77eF47a49e735Ca7dD,​0x09D90076f58468C98deD8ae214CA23a14279c6Ef,​0xF42Df5f735C86495Fa3ec321741E09a0663D91dF,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x000000000025D4386F7FB58984CBe110AEe3A4c4,​0xDa81a57188006FeAC8711B046b28A79Ea202E999,​0xc01692c599A5c8e8197c2A3470f347169c347a8c,​0x3fCb35Aada553A888433eFC45dF1B70937A5942D,​0x2A3F7E5170Ea8Ca967f85f091eF84591f639E031,​0x64C971d7e3c0483FA97A7714ec55d1E1943731c7,​0x6E63a4CAeCcb4F341EE9C9175c9Cc554bDB6d10B,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x73084E4338A64d73180D039FaE40A0e92b105F35,​0xBE35171887d3ba015556D664ABF5792D0869796e,​0x1E36A5979c613F52F8CB956638B07602C7e7e1F7,​0x179de4295a98bc20f81C44303508f25D054FBA63,​0xA5006F0bfA998550Fb0DF3869CCa577BD76Fe007,​0x3C52183Ebb94B8f7537B8eCC37A2328833d8Af2C,​0x3D92bb54343763cA731e1D07EFb245D766dBF886,​0xCF76653E257341AEe3EaCea153Bb48E8B27E8391,​0x97deC872013f6B5fB443861090ad931542878126,​0xBa03EcA6b692532648c4da21840fB9Af578147A2,​0x32CcaF20c89e76Cb3f0e35276532fc4e9976fD10,​0x848F11E9c468be9EF6bF5F1Daa742e6ADF25D7A7,​0x55b4Dc1873B2B2d54e75faBcde78160A37498A06,​0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,​0x951763756DF8811575f2C7f7cF8761b74147Ea7D,​0x0643231de4Ad25c252c265C70D3D5b76af91582a,​0x52AF787439a82f36d6eF6B0dA0f0E5eCCe29fF90,​0xC6581Ce3A005e2801c1e0903281BBd318eC5B5C2,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x536956Fab86774fb55CfaAcF496BC25E4d2B435C,​0x92A96518407397766500A0Ca25626a5715397D3B,​0xB094D37fFFb59f8c7Fa784Cf37b62Fa75998006E,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0x8d3501ba7e629c40dacACf60E394f3eED645e088,​0x2Bf5A5bA29E60682fC56B2Fcf9cE07Bef4F6196f,​0x1F1dDd6734b8C077b87870FE86b2B732839340b2,​0x40DeeA0Cb0Fe5FE5154ff8fDC79EC68087553D0E,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x03595D65063F8C13ed0E32c3afad77200f7A544b,​0xbf5c6d85510E491cd45d1264FFfEC0c2C4282564,​0x3dF364ED7e8A887f7f9c240f7e281A4ea05CE03f,​0x556754785B5428cB5C04B798Ea993e5d3c550A66,​0x9a7A75E66B325a3BD46973B2b57c9b8d9D26a621,​0xcfB586d08633fC36953be8083B63a7d96D50265B,​0xF1Ad4BFDF8829d55eC0Ce7900EF9d122B2610673,​0x3b2534b8EA1f9a8BF9D9915B91bae673d161F2A5,​0x0a1417F94323F1F248b896933d3eE2852a63B7Cd,​0x6dC0ef59368EDC6FFBacD80D8ceBBf4801Fb89Dc,​0x000f4432a40560bBFf1b581a8b7AdEd8dab80026,​0x4e395304655F0796bc3bc63709DB72173b9DdF98,​0xb53482210a2943B964BceC338E51B680c0261118,​0x0A2d8379ec0d01F3E4ff7Ecc06292e1497113C43,​0x844b9E33ffC8CAE3081c9EC94117e60A35Ac9185,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0x762ed657B76372F8C08C6f7E0Aa4170658C4CA35,​0x68FCF4D9D06F8D2185292F7B6c5Ce171A70C990E,​0x8AfE035Fb872b5EE0f0DC468D6283c813F473821,​0xfb87ecd70f5da0cC8BF74a8f41Ec537C8ACbc9EE,​0xa8Bafc88E36BA1223dfF19452309F96E1B351E67,​0x72B48383c4D2Fc012E981156678E7851Fae22063,​0xC953F256672B4F4159aEAe95005c6BbC7cF26e8A,​0x60185A14575402A6c5c752Dd42bC7E5da9C5045C,​0x104Bb4A0C3f4a94e2Cd94538837d84DE1D84BD0B,​0xa4aD045d62a493f0ED883b413866448AfB13087C,​0xaE36b2d358DD439F7b6dDe023E618b7b36FBd2d9,​0x4eE32485431B366bb7e8A3A200954265c5F7CD57,Other
1565710691000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565776959000,,,,,,,0.46,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,
1565843533000,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,0.63,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
1565911450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,
1565978340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,
1566044959000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,
1566113085000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.15
1566246801000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,
1566381517000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566516026000,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566717936000,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566784085000,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567389294000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
1567860872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567928417000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.00,,,,,,,
1567996252000,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,0.62,,,,,,,
1568198340000,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,0.08,,,,,,,,,,
1568266003000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,0.18,,,,,,,,,,
1568332434000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,
1568467502000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1568535532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
1568603177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1568737700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
1568803850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
1569209597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569480328000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569548219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
1569817983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
