timestamp,​0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,​0x9c000e3c12D3B03720c24616BdbC5CC4781Ca114,​0xcfFB64b3957b62e52A548422825697953d601D61,​0xD0be2821cd565afAd204cA058b61bB3829b786A0,​0xC29969B398Ff2A42e0280e783B83Be3557c38b1e,​0x26cf57630ada571e66bB42c0f2137d6838d43064,​0xCbCaD28f67a828a1B8750D6C65248302659d01A8,​0xCD97c94D8823eF5689236590434f59883E08dCf8,​0xeC996ca1816C012C26F6b0D8B0360fba293D275E,​0xBB63758fbbaE0D96b2da118972838d286Bf456b0,​0x49c4f9bc14884f6210F28342ceD592A633801a8b,​0x68A8FB23e6fe18D29DA22929c75BE33e43bd81B3,​0xf0bBbEe03f89d344B9C385a822016Ec22C84f1e6,​0xc215EbFE68C15FCAFCb848105eF5f5B1158313CB,​0x762bF419272Edf68E1E146E704f07e2640d37471,​0x7233E0D88Eb304ECD1156089e1d39bBDb1223463,​0x51A7EaD10340AF963C3124b026b86dd2807c2b1C,​0xd8608b19bF3dd5EB259A4f14c6d2cE225E08000C,​0x0E71F7a6bBAE357A1Cd364173aE69D3fb2e539e3,​0xa5F94aC4202315d2186afc725fF380F283A06080,​0x84443F61efc60D10DA9F9a2398980CD5748394BB,​0x622E485D8DfEB09BD7fE1Efcc3f51E733A84c103,​0x4c40aE4a0cf63D32eeb92C5950f7643afd480c0e,​0x035ec1430Ca12145343dC226D27BaFc624A82395,​0xFd15b64666B36B789e6770f546e0ad045e1214eA,​0xA238819a0ccA2dEaB598724F172810e9eBD052c7,​0xF5e635FC3c795c11AE6B58e38828CDF962845ac6,​0x8F87DB96D80EF2ea8e8219BcD61a4354Fbd39F50,​0x12F755C5070CADCf1A040a69AcfD924A3F505c26,​0xf68BCcE8CFD7ac8967afddA4A311A5C720D2bCE4,​0x97e7f9f6987D3b06E702642459F7C4097914Ea87,​0x8924a229e2191B06EA1aED8EBa5382eBf352F190,​0x8c739e5Bf512f2DbB0293971c81c9fC4bf1Af8D6,​0xaE689CfE1eF67CC70649C7eaC35c86521D4B4bA4,​0xC6a82e72156A11a2E1634633aF5E4517B451f0D9,​0x32fD5b239e611133d2fC7a533E545e9A7762fb66,​0x97deC872013f6B5fB443861090ad931542878126,​0x9ca72d50650a0254238f4F0AfAA8f05F18BEB632,​0x7Ee567D2AC5dca4c422281Deb1e2334a805BA6C1,​0x58e11792D0637540ab1f430E4659693659Ea2734,​0x52cA93AFcC8bA54f7e5c08dC7371A2C51Bd55df6,​0xCD06b251eeA4cF9daf67D3e0ebCB9F4F4bA91189,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x781b6EecE2E7ba81cc8782956FfB7C286107cDE9,​0xF0029d6E49F2Ea682BB54044a622749b9b63635c,​0xAfA3A4921910B57D86172373Eb61Cd7ba29a6954,​0x0E26D3d76a8c2ff2978859915519041eFd124Ab1,​0x0b4523368EF3B690F7f77D574c34304218F4602B,​0x9f62d05994Eb6CF29f00fB1A5bCaD1BD01006Bad,​0x97be59b7Fa961Ef52210939591D9cf01Ba24Ba40,​0xD43CA49702D9aF6273C0c485B78ca221dE0EA161,​0x9Ee1830ff376758c5Ecc7FB465f3b14d64116d71,​0x4F532e0ae9954A85E5396F3E8d1876556317bFBA,​0x9cd80322Ffa47714885E0585aa474D3aA275cbeD,​0xDD0Ae472337D8b3E63a60FceD8ae4BE36093598f,Other
1583833348000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1583900197000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,0.03,,,,,,,,,,,,,
1583966404000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,1.24,,,,,,,,,,,,,
1584033400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70,,,,,,,,,,,,,
1584100621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,,,,,,1.41,,,,,,,,,,,,,
1584168330000,,0.55,,,,,,,,,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,0.91,,,,,,,,,,,,,
1584234522000,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584300469000,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584367227000,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96,,,,,,0.00,,,,,,,,,,,,,
1584434720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.53,,,,,,,,,,,,0.53,,,,
1584500082000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,
1584566455000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,
1584632903000,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,1.69,,,1.15,,,,,,,,,,,,,,,,
1584699859000,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,1.09,,,,2.07,,,,,,,,,,,,
1584766483000,,,,,,,,,,,,0.46,1.09,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,4.73,,,,,,,,,,,,,,,,
1584902413000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,
1584970249000,,,,,,,,,,,,0.53,,2.67,,,,,,,,,,,,,,,,,,,,,1.13,,0.81,,,1.60,,,,,,,,,,,,0.55,,,,
1585036977000,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585105600000,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,
1585173391000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,0.10
1585306138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,1.01,,,,,,,,,,,,,,,,
1585372283000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,,,,,0.55,,,,,,,,,,,,,
1585438491000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,,,,,,,1.08,,,1.08,,,,,0.54,,,,,,,,,,,
1585504149000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,
1585571105000,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,1.61,,,,,,,2.75,,,,,,,,1.09,,,,,,,,0.55,,,
