timestamp,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x1DE7554f0833d98D99C07e891A9846a5ed8C73ee,​0x738Aa22EC2f4Ba7093E2300b3f1FF88Dc6De9A90,​0x773cd1Eed5E018d1E4903dda602A28203a97CC57,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x8Ebd10FE696288c6ED1E024064FDF54541Aa63e0,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xB0b91143de6bBB74057D120DB7bd7b939a4Bae5C,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x8eCc379C8d744142aFf3Ea80cAF53E3e57779EBd,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x3Fb2F18065926DdB33E7571475c509541d15dA0e,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0xe09519Ba1fABf65AD37c36e71DbC607401F5A993,​0xeF5e089fB126AA0207Dbc6ae619C9E51Eb3bAAfc,​0x98Fa2E7D41243EA6A186a7180808e9D221332c91,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0xD502f639abc439aC2B71DCD272e56e97DA97fE0d,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xd70533e81Bb3e590a198C227993e590219f83c02,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xB5cA2e671e2Aef33a9d0AB4C781Eb1B01f8E8399,​0xaD457072924e5a1A1c9807942211BA5D928CeC8A,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x9f4E741Ce05CFCe99D101EAB33A18909BD51c9AF,​0x137Fba6795aAD7A6f0daB782a2BfFe93434f26De,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0xB0B7aBccD78a560955eaD86a34eae2F0B6f0199E,​0xB5B869BB47d2868cC81384bEa5461F8D05930d16,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x97deC872013f6B5fB443861090ad931542878126,​0x53eFb886394D47cAed8433bdD5148b153c02AD66,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,Other
1583767163000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1584434720000,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1584500082000,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1584566455000,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
1584632903000,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,
1584699859000,,,,,,,,0.06,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1584833664000,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
1584970249000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,
1585105600000,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.07,,,,
1585173391000,,,,,,,0.08,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,
1585239172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585306138000,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,0.08
1585372283000,,,,,,,0.22,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,
1585704243000,,1.00,,,,,0.63,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,
1585770840000,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.03
1585903293000,,,,,,,0.42,,,,,,,,,,,,,,0.32,,,,,,,,,0.10,,,,,,,,,
1586236183000,,,,,,,0.26,0.07,,,,,,,,,,,,,0.36,,2.05,,,,,,,,,,,,,,,,0.01
1586301955000,,,,,,,0.94,,,,,,,,,,,,,,,1.02,,,,,,,0.41,,,,,,,,,,
1586368858000,,,,,,1.00,0.96,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,2.00,,
1586434964000,,,,,,,,,,,,,,,,,,,,,0.28,1.00,,,,,,,,,,,,,,,,,
1586501245000,,,,,2.26,1.02,4.79,,,,,,,,,,,,,,,8.18,5.24,0.91,2.98,,,,,0.21,,,,,,,,,
1586568529000,,,,,,,2.00,,,,,,,,0.05,,,,,,,1.00,,,,,,,,,,,,,,,,0.23,
1586635021000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1586767741000,,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,0.33,,,,
1586833705000,11.20,,2.77,,,,,,,,,,,,,,,,,,,9.23,,,,,,4.85,,,,,,1.21,,,,,
