timestamp,​0x43AFaA86982a4Dd6717D65ffDBC703A91bB82979,​0xBB79B2499C9a9F5D76F2e26d3B3fd3d83d1b7F66,​0xbEB3502E6Ea7603C57550D23AD93E786261a6272,​0xEC78c498137e8783C4291BE84F9B39733B21c59c,​0x6cd5B7AbA1e610755EA101ae6197F97D4D24BB63,​0xCcf1a7197dDdB053920Ad9aB00B5DAF8D1dDdcDF,​0x98f990ef129D59a3E511fa6471CAB60C215CDfeB,​0x793168FB619178b380Aa831620B1312684167aE6,​0x223716C5aa5fd892c0dAff1f24D4531272E8B12d,​0xEe11a1883bb03F38A0FE26c3D85d5b1e61bbd5bf,​0x0E942Af80ec218c327d7B91C8a4843d5a7061001,​0xA9938f3317e1A8010496B0EA93375B5B6F102F95,​0xDef9e718616652b2C48D2229e3A9d39b5De12eAC,​0xf599DD992feA3C597d859d17D98c41a54D5a2e4c,​0x99b9aA961DdBC2583331D7Cd1B94630872292006,​0x1530FC137f35b1b02299127696ed48BD1097B98d,​0xaFa2abe7c0642b32F510dDFcDd4dd0FA933087FC,​0xAFCdb58EE3F6467354CeEB796d1841035A6d7cae,​0x19058B87cc3975b2dd7d01B6e95102AB9e1a2a72,​0x23096234466Be5D3AC3da2cB6B4D8D843D528426,​0xC7ADea0d6B7c4a19d91E8bB825831E7aCA770755,​0x73084E4338A64d73180D039FaE40A0e92b105F35,​0xc6ca2E898936faa9ACdb2277B10cFbe758ce5b9E,​0xDEb9Ab92E2e04b9be110758f280d26fB16e6C9E3,​0xeB12a626BF202f61469716ccE910Ce481E0Dd835,​0x04c0546e35b9E96B3A69692C433Acb50f3AED0B1,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0xE3c98cbD63D6142e40848D432Af2971975a54F6F,​0xa8840A5C91Ed4a62894509b7219D681d4238575d,​0x3dF364ED7e8A887f7f9c240f7e281A4ea05CE03f,​0x6E63a4CAeCcb4F341EE9C9175c9Cc554bDB6d10B,​0xBe6D5F7851fB4945f59bB495BAAEeC4aA562B5cA,​0xec89a4E9F698d8e4A70C05606F7fB2F8e91fbD33,​0x3498c228B3aC354e11a41d3DaFD5d909786C4E5D,​0x5140A2e4b1e8f39a3D06fBF135803Acc75b65955,​0x9650F4feDd1e6ce63621479A4bf5F4d743E6F958,​0xF4a0e9AD90f441670016742C8977f79553EE8eE8,​0x40DeeA0Cb0Fe5FE5154ff8fDC79EC68087553D0E,​0x4B37E38eBcaABEa0145e04699694e990d5045F91,​0x9151c47C781593697E8bDd828Ac0e02765E0e621,​0xd04c453461a77b342fEA9d1fEc55861399401122,​0x332D23a7F2051706e15A9cA6A0539d6405e0ABcc,​0xF9107317B0fF77eD5b7ADea15e50514A3564002B,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x811AaCc7100ca619DAa02aBC243277766A38418b,​0x74C20E49e3cCC0C5A8eAC54E8547B70ecdFfB1b4,​0xfA33467b9fE5e5E3a82FD59F3facA755DF9a13d8,​0x49c8209caF76E2758FE1097B175E3EAb357b74Be,​0x576a655161B5502dCf40602BE1f3519A89b71658,Other
1585903293000,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586036191000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
1586169028000,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1586368858000,,,0.01,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586501245000,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586833705000,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586900049000,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586966921000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,
1587167698000,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
1587300847000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,
1587434258000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587501138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
1587568237000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587634602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
1587836062000,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587969951000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588237076000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588371539000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1588506516000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588705743000,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1588839881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1588906152000,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1589241093000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589308656000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
1589375621000,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589711000000,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,0.01,,,,,
1590047677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,
1590181994000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
