timestamp,​0x7bEED30332656CA4220CB2ce8E4508fb18013E8d,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,​0x223716C5aa5fd892c0dAff1f24D4531272E8B12d,​0xaca056daAA8241843A2D90057272024e9583dE93,​0xCF76653E257341AEe3EaCea153Bb48E8B27E8391,​0xbb651524aad788e2e9Ed61CD0Ae7152D775530FD,​0x5140A2e4b1e8f39a3D06fBF135803Acc75b65955,​0x3fCb35Aada553A888433eFC45dF1B70937A5942D,​0xD2Af803ad747ea12Acf5Ae468056703aE48785b5,​0x187dad1e0DD5e599091C2ec88E89aFB4CdE4B7a3,​0x09Bcb8Fa712a2c331402Eb1C5452e0ef2d5A742C,​0x19058B87cc3975b2dd7d01B6e95102AB9e1a2a72,​0x575338C1c07497bB2c4178c849Cd8A5CbF7E8150,​0x8124b02b4967Bd7338a450420a572D574915Ff9C,​0x4caC902dE30F930F1B01C3A96FB5b3Ea061e2577,​0x243D8474E5C0Ce6c336e52EA58adB5D12585cFed,​0x0ba6927Fb84760D0D4689f1515522022c675ef9e,​0x1530FC137f35b1b02299127696ed48BD1097B98d,​0xbEB3502E6Ea7603C57550D23AD93E786261a6272,​0xC7ADea0d6B7c4a19d91E8bB825831E7aCA770755,​0x74eC638D8e82ab4e7aACAC77eF47a49e735Ca7dD,​0x0385619bbeAED92aC451806a7ab79905973cE806,​0xf599DD992feA3C597d859d17D98c41a54D5a2e4c,​0xCaFcd62114Cfc1d16298a1CFec409BCa139c899b,​0xCa25290dd20D47DefCcFbe6A11a009c36B6802ac,​0x3dF364ED7e8A887f7f9c240f7e281A4ea05CE03f,​0x73084E4338A64d73180D039FaE40A0e92b105F35,​0x3b2534b8EA1f9a8BF9D9915B91bae673d161F2A5,​0xD0860853D851CC2fF4C33f833b0beAA94Be49332,​0x44E9d011DF8741Be2493E99297E9ad67bb1aa85B,​0xe8161aB952e064AD0E3Ef44B29CE8D2dCE39D60D,​0xb9bc87e399E371100F83ffC51ED44c13DAF576cE,​0x1426E0DC259E1A6d0da470661ba54A21195aE3a6,​0xDdc9C668f90BbA52C4BDEF773DAE5224813393e1,​0x10017ca37B1257Ac0771e24652aa28c758e378Eb,​0xa015fE2a1947B23AD454E699F8CbbDa419671F5e,​0xB66F8a0Da457B91D5cA3d9f0d679783a28e70cb7,​0xeC780f8d84F98fd79bBa4948Ad1663AB126E7565,​0xFDC34f61CCc6E5cBf8D168614AB29BAE624085C9,​0xd0c3339848Fb597aBD46fA650E3E411715f0bfB8,​0x47a5585f1664338A792d84fC4c972CD18641C3f0,​0x41308f0538D32DaE052e3524C82F47EAe2e560f1,​0x60D38778ADbBeeAc88f741B833cbB9877228EEa0,​0x6AD2fB782Ff5FeBa6ACC6321Bfd24E14D6db4F5e,​0xD1898665a01A91AC10bD2C6cb1899336df34AC33,​0x92c9858380543D5A1EbA0D01880BB57e188c35A1,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0xfb87ecd70f5da0cC8BF74a8f41Ec537C8ACbc9EE,​0x271758FDdAAE08CA1eC61371dEf9DA192F208B3E,​0x9f7064DfE6CA5856B3aFd7A3B3974686A35bDaB5,​0xF9107317B0fF77eD5b7ADea15e50514A3564002B,​0xD259F146EF6038E1E4d65939f68fBB6d9e72e8ae,​0xfAb9a3D37999E12252b47468D2FFD4BE15936012,​0x9E23dAa080F6d456Cc7e369023c65e899462e42C,​0xcfB586d08633fC36953be8083B63a7d96D50265B,​0x668069d4F8AD880A3E610309F83B569389135610,​0x40DeeA0Cb0Fe5FE5154ff8fDC79EC68087553D0E,​0xb6aa2932e1AA279f5DA11c4450683bAd037F2486,​0xD07F992158e06681d7AB949BD365150CBAFbC281,​0xc2FEa212CB7635602B4B7993AfEaEcc97A873D5e,​0x6E63a4CAeCcb4F341EE9C9175c9Cc554bDB6d10B,​0xDC546f477f273bCF327297bf4ADCB671b5f20BE1,​0x0E942Af80ec218c327d7B91C8a4843d5a7061001,​0xdD965133ccAD001c5bB9068d754841eed9b87FB2,​0x2755865624377194e5e10934bfD3c6d9265c7e2b,​0x9AF481276b075e036BC23E887a8Bd275e69Ef74C,​0xe7fd28f3325715f17e1A0FCE2582d5E098Fbd252,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x08cEb8Bba685ee708C9c4c65576837cbE19B9dea,​0xA4d0197d4c99c0362378809131D8788c85404bB3,Other
1577997589000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578261907000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
1578393679000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1578526345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1578592894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
1578658814000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1578724741000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.00
1578857025000,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578923015000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,0.00
1578989540000,,0.12,0.51,,,,0.01,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1579055596000,0.15,,,,,,0.01,,,,,0.14,,,,,,,0.05,,,,,,,0.45,,,,,,,,,0.36,,,,,,,,,,,,,0.13,,,0.75,,,0.04,,,,,,,,,,0.06,,0.03,,,,,
1579122050000,,,0.50,,,,,,,,0.04,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1579188604000,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1579254375000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01
1579320115000,,,,,,,0.00,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579453251000,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579584998000,,,,,,,,,,,,,,,,,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,0.00
1579650516000,,,,,,,,,,,,,,,0.09,,,,,0.03,0.09,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579717286000,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579783170000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579915579000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,
1579982233000,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1580114658000,,,0.01,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.13,,0.02
1580180893000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,0.01
1580247630000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580313366000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,
