timestamp,​0x860413f97CB24d820F3c5503D19Dfa2745FF3E4c,​0x649E6aff628460411524717d671048d6f36BB0B9,​0xB435871B0959561226b4d903b1abf79528177E81,​0xFCd81C0D8fcDBA864cc558c17aF8EF83D05bdF45,​0x21639A426a07498C4e7157BA909f92dA2D57cE87,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x5ce7d4C2772915a649333edB5a02BdBD8109D570,​0xAe5fB390e5c4fA1962e39E98DBfb0ed8055Ed7A9,​0x84443F61efc60D10DA9F9a2398980CD5748394BB,​0x1695Ab284F6dd66c4C365917e18470D23e4Ed24A,​0x8bCE57b7B84218397FFB6ceFaE99F4792Ee8161d,​0xF6D96E33E43A6F0bD59a88e77438E693B2C898C6,​0x916Ef7316423B84c3fec35D8914af1e0a17c56b8,​0x3B2E298b401D1E11cE6ee82b54792CA435CE81eC,​0x64E482233Ca8bbFCd7fBCc670808fa0eB09c5cc3,​0x399c7819840329E2B73449d6afcF7f4Fd71399b2,​0x9B4C75cE8d7006620Df39e8757ade75D6434A6fE,​0x1476aC3a5fe25C2a5EdF4889b877F4f9639B8a21,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x65798E5C90a332bBFa37C793F8847c441dF42D44,​0x93d29542401C00F1431fD1C80b634697e5645C59,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xfbC555CCAc6EcD5590793C8976f73FFa72e38840,​0xfa75cb0cfdA814f7d49891BCdd28308c31E72d63,​0x7f01D9b227593E033bf8d6FC86e634d27aa85568,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x007aB8fE04Ad2863cB6881CAA6744D522C532b71,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x639C52b5475a44c5bb876A7e4E7Ee778A3E2d136,​0x5f72C7cA304679b07C527dD0F245F76b5D62ce61,​0xb0e83C2D71A991017e0116d58c5765Abc57384af,​0x2A1049062c6Cfd69bd38fbaf3b0559DF1DBbc92c,​0xe29999070368eDebCb170647D6bfDE11B32767a8,​0x683a42E5B414Ae5cF79ece7e369cA5937fdcDC11,​0x48B04d2A05B6B604d8d5223Fd1984f191DED51af,​0x0874B3d15079c6a4B48A1F03B44F44f3C278FE02,​0xc0aE6010B9D54230dECEE0AC15c9cD218cceB440,​0x36000d7592B3bCe1a5d7E24D99AD73E38E49CCe9,​0xaeC1e9DD3a586B118DAaFD0DD043885100E64a43,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,Other
1566381517000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1566920101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1567860872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
1567996252000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1568130759000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,
1569548219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
1569817983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1570424401000,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570832121000,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,
1571376291000,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573240765000,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574463158000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1574534614000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1576799699000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1577057861000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1577315631000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1577573599000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1577659927000,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578592894000,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,
1579055596000,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,
1579188604000,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,
1579584998000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1580512997000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1580645575000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1580711822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1581177428000,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581243665000,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581310184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1581574720000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581707956000,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581774043000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1581907086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
1582106715000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582173039000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583368317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1583966404000,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,
1584367227000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1586102872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,
1586301955000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,
1587634602000,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,
1589576701000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1589778055000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
