timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x533344cFdF2a3E911E2CF4c6f5ED08e791F5355f,​0x9709a9f77d4349e1DA4220f1458fBe9339d612E3,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x6168bb05CCb4aaded0169602BBb6E3CAe12902c5,​0x36691C4F426Eb8F42f150ebdE43069A31cB080AD,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x9D44216CD70E466926524177F671eEE7c08312F9,​0x4654F56a64301b9b582F843F97332D96Ead11FF8,​0x7a3f5a46CE18A4db6fE7cA4C2fbF96793a203462,​0x6379d724d06D5fFE0b0F52cA0595BAb99BB5f1b9,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x25BA6bADee1Ba37DF41D2CD23B45649Ee7Bb9C93,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x96B99AC2dB462eA50A10C2a940565f4bA4D718d4,​0x2A1f935F8175f990cCbcdf2B8CD842145425Ec57,​0xD92f15ca86d369B0026aF578d995D403055abD69,​0xDe12c9510F0677EB51520546003b1e07C614FD67,​0xe5DD78C224F26E306c84A9B1aa2DEF30bdf15835,​0xd4d00Ffa0b656521d44bD857BD7c5EEB27D3a48e,​0x03b054Ef0Cd799848f157E3033fef4c4cC0E39B5,​0x3F70E1C7369347b74E988463eA1Ae2f831b47411,​0x62E71Abd0D8b88C08090a1290fBb9F51B5fFC966,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0xB14A74C43cE0bf8f7912f7f1f8fEb90B4b5f466B,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x82FeEe8e969c3f79D5c3B971315C95eb042180F4,​0xB791c10824296881f91BDbC16367BbD9743fd99b,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0x4e8BddCC87D1B6B10f3dD27DAf2076ED11e29D46,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x72338b82800400F5488eCa2B5A37270ba3B7A111,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x00000000000080C886232E9b7EBBFb942B5987AA,​0xd3c34Ff1F95f674C5C63aa0A7295540b2b392a10,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x6ffdfcee63aD0338d57407582699D39A1adc359C,​0xA24F2E6dCbD2Da9A220958401dAB74B365bD34E1,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xfE764894529EDdF77ce0E6f83ACF56f50E1E7a31,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0xc7eebc3053C9BF68a9a0ba1E300cC9c4C445dF54,​0xCDbFAbd0c716d05a3e03bBef95E62b32761aea84,Other
1557830231000,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558709678000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1558776750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1566246801000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1566717936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1567591445000,,,,,,,0.80,,,,,12.44,,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572198558000,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,0.25,,,,,,,,,,,,,,,,,,,
1572267917000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
1572754262000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.18,
1572822749000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1573031855000,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573886613000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,
1574175364000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
1574319702000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,
1574390894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,
1574463158000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,0.04,,,,,,,,0.40,,,,,,
1574534614000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,0.26,,,,,,
1574753753000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,
1574829912000,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574906610000,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.18,,,,,,,,,,0.01,0.02,,,0.06
1574982967000,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,0.42,,,,,,,,,,0.40,0.25,,,
1575059347000,0.15,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,
1575136068000,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,0.97,,,,,,,,0.17,,0.34,,,,
1575212493000,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,1.06,,,,,,,,0.05,,,,,,
