timestamp,​0xBB79B2499C9a9F5D76F2e26d3B3fd3d83d1b7F66,​0x00A540a78FaB5d2c16635574388D1128662462f1,​0xe39Cb745e8Db0Da1Be665ADB2eAb58f4FD600927,​0x2e9036ABf6d19424393FB169fb49A29D273EE399,​0x59717854b031deD1feBf195Df2910762a69bB61e,​0x9650F4feDd1e6ce63621479A4bf5F4d743E6F958,​0xDE14129eE5f3670CE09A3F8e94b10e156c36a2Bf,​0xB66F8a0Da457B91D5cA3d9f0d679783a28e70cb7,​0xD1E6FC718660618d73D458A77BD0339F6C2F4212,​0x886C0328b1392a48Ceb1F42d1f4892e959f40F8F,​0x51083Be1C8fFBedCeC56F28AA41B6707310AC489,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0x15d61bAD91BB068f1Ec66845d1e071Ec7A6A07fB,​0xbEB3502E6Ea7603C57550D23AD93E786261a6272,​0x223716C5aa5fd892c0dAff1f24D4531272E8B12d,​0x9a7A75E66B325a3BD46973B2b57c9b8d9D26a621,​0xB1536967017D7eeA185106307600e95D1141cbCa,​0xE3eA24Fb60a97B7234BDfF49C5bCb456fa571eFa,​0xCaFcd62114Cfc1d16298a1CFec409BCa139c899b,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0xF4a0e9AD90f441670016742C8977f79553EE8eE8,​0xb15272f2865E7E7615843d4A02992eFd05C51517,​0x3a3D1Fc99679343535D56374A42b3E96669913fe,​0x1426E0DC259E1A6d0da470661ba54A21195aE3a6,​0x19058B87cc3975b2dd7d01B6e95102AB9e1a2a72,​0xd6f64c02c14Ac390bf5f772de6CD590f9412bD1C,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,​0xc6F8B0af56Fe21f2446459046292a84eE5444807,​0x73084E4338A64d73180D039FaE40A0e92b105F35,​0x93AeF073b3139c26312de0BB1b302609eb3BF5ce,​0x9151c47C781593697E8bDd828Ac0e02765E0e621,​0x3b2534b8EA1f9a8BF9D9915B91bae673d161F2A5,Other
1585105600000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1585306138000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1585372283000,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1585438491000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,
1585571105000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1585637238000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.02,,,
1585704243000,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.00,,,,,,,
1586036191000,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,0.00,,0.00,,,,
1586236183000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
1586701369000,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,
1586767741000,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586833705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
1587300847000,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587568237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1587969951000,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
1588305064000,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,
1588506516000,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,
1588705743000,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589241093000,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,
1589442351000,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
1589644333000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
1590383553000,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,
1590451139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1590652494000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590987649000,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591122115000,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591323776000,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1591590964000,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
1592794125000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1592927890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,
1592995513000,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.00
1593800162000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594199176000,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1594266589000,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
