timestamp,​0x25981260Dd48274Abb39d48eD3cd96384522c217,​0x035E8A0A57f24FD10D447c6cE44524513dd6e09C,​0x80924056D194B67b499B36100E63381A27838dEd,​0x8bCE57b7B84218397FFB6ceFaE99F4792Ee8161d,​0x251097885687d45C303bE0d89E9Ba4EFCA057f70,​0xb01b31f8EBdF2BA6371B9d8CDcA8B9cBe06Face7,​0x37438Ee973De2942067b48036c2341a23BD19290,​0x748044889b60230f7b27039893b6805A8686B286,​0xB823dc506011EEdab6F8feECc88806dBFc55Ea93,​0x5ACCE70cae148B520Ff36dCF177ee78Ba54eBc04,​0xd0C877B474CD51959931a7f70D7a6c60F50cdAE7,​0xE43d79523C923b6b25A9DdC118cB1E2Aa28753bB,​0xb3aF48d951f16425D2FA5a8147ae255Ed426F54D,​0x9C288E7F4dbd99E5753c4Fb4c24CAd3D73828EcB,​0x8a3F24E3733D0c968d3899a76646984e6E8534EE,​0xEb1FBB2D250D7A20eCD76A33C079d7C0B74F965E,​0xacd7CD1c6eC1816052cd0ad7E6aCae00231A61cD,​0xd7b85cCd957638F4a66710238BC9912b97baf465,​0x7103A727Dd976fcb389921CEB148D2ea03E484B6,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0xB56f70B5f721f863C2ec455B9B9B251a61c0e9F8,​0x9e2EC9574623b58Dd0cE513A05CC52564cFc3220,​0x187dad1e0DD5e599091C2ec88E89aFB4CdE4B7a3,​0x32AB4262DF2C10ccC199F5f8E7332eD507eF3EA5,​0x44E9d011DF8741Be2493E99297E9ad67bb1aa85B,​0xcD1EA4583aDB021f9Cfd50b50F317Caf34EeC14b,​0x9671a3fbBfB13D68E5770Afed424F8915eA0adA3,​0x34040Fd79d4a6103E99e8f68E91dEc40C7DdeB82,​0x83955a8ae05eaADBd1c61ED8c368740f35cd178D,​0x1fB11840D982a5BB02e1154804cfC9A96af1Db83,​0x73B4437A4b3e43De673836107437e4f092A363e0,​0x530cF036Ed4Fa58f7301a9C788C9806624ceFD19,​0x6B40176cdf732dbB35C1d0575c9B829817410984,​0xCed2662Fe30D876bEf52F219eeAC67e2b328Effc,​0xfF6ddb157773197c31a834F6A294c7D0c0abc79F,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xb78E3E8bd36B3228322d0a9d3271B5FbB7997fA3,​0x8CDF31E20Efa14c8e5cdF5043Edc41D1E74BcE66,​0x7a282701403DADb827A2F83Cc3e714e7660537fA,​0xA0ab8Eddf14a5174688E2eb1bdb69CDF377142C3,​0x7bEED30332656CA4220CB2ce8E4508fb18013E8d,​0x97deC872013f6B5fB443861090ad931542878126,​0xD03c8ad4Bebd854A36010B864520efa0E4c700ee,​0x4cE89D4603041dEa7cb20603BD8000912925D546,​0xe59D87E5298aC2fB24C2fC55D256cB8fcb696238,​0x87983902D569e393Bc1ECa07b076df9dbCFb5EC7,​0x89C5dca00B9bf5AD746b91EC911c56Cb4AEE17F0,​0x0544A0E333E049C879724768eC7b2210526B479b,​0x2be4AAa52893219eC124c8afc8168b7A6103811A,​0x98cb6107a67da3375F16C304aEffe1FCC0b1239f,​0xa1acaDDd259649d470B42C95738E5e89C8d8A233,​0x90D3519aF25A16028CcdFC31EB55af8939036740,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x5AB52E17133a2D545b806a468b47650b077985Dc,​0x00A839dE7922491683f547a67795204763ff8237,​0x0fA074262d6AF761FB57751d610dc92Bac82AEf9,​0x683a42E5B414Ae5cF79ece7e369cA5937fdcDC11,​0xbd9b7373aAc15d9A93c810dF3999343f4Fe1eD88,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x92fAB452E2F14C7730f79031906E06326c916946,​0x3A6E99D804746F7ec5BC2CAfe9ca5670607dfA84,​0x1197A7E527587440999a2C7C3c99919A83776318,​0xF18D2c1FCa0601FD7D3AC461b62521544a3Df2dE,​0x87F486b6985E9cC1e8Df94cCC9cffAF746938539,​0x78007a534A732De370B64D29FF9ab4CB52bfF29F,​0x9AF481276b075e036BC23E887a8Bd275e69Ef74C,​0x568f888E808621bDe2F8f6511BFcF952732AE70C,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x596DbEf7dFfAEdd60C1df11bC51Df3D529821b58,​0xD2Af803ad747ea12Acf5Ae468056703aE48785b5,​0xB2e19dd996848818d972DD3a60A1B7FAfFB82330,​0xBe3BF9Bb42bF423695B792250BE206C9A58e2dE1,​0x983A185Bb3fc31801Dd9F508E9778BC1b40212C3,​0x8b9f036770D44F4A26abAAC4Df927F26339b3313,​0x7D438bf6567673867480b7923669Bf349e6C8c12,​0x7485ac6d8534691993348D51ab0F131a19FfF763,​0x5A8681cA9efDDa2739A84e84a46FDf3DED1148CA,​0x4595ff64328Faf80a8cf0D52355639984b6Af23C,​0x2D891ED45C4C3EAB978513DF4B92a35Cf131d2e2,​0x3401eA5a8d91c5e3944962C0148b08AC4A77f153,​0xDC546f477f273bCF327297bf4ADCB671b5f20BE1,​0x09D390e78FAa3ECA8C6e3c0bB3C6CbCAF679a44c,​0x223716C5aa5fd892c0dAff1f24D4531272E8B12d,​0x2411a1Eb36d8479edc97d0A50aEbE48EF455e1CC,​0x60A8A2B3cD441D94894B44981B4FcD9B17C04D8F,​0xA5aBB09C179E155f2E283b6f876614B3D4D1230D,​0x2d55c157dB17267ccdA852b749F3244404139bA5,​0x7E06F93FE3b66c4887d80f0be5ebB1202159282C,​0x442DCCEe68425828C106A3662014B4F131e3BD9b,​0x614A61a3b7F2fd8750AcAAD63b2a0CFe8B8524F1,​0x4da725d81911dc6b452a79eACbE8e2dF7aB4cA49,​0xb9bc87e399E371100F83ffC51ED44c13DAF576cE,​0xe13d4abEe4B304b67C52A56871141caD1B833aa7,​0xdD965133ccAD001c5bB9068d754841eed9b87FB2,​0x385C2D94cD5DFA0AB6423891B817da73426Bacc7,​0xA096b47EbF7727d01Ff4F09c34Fc6591f2c375F0,​0x080F5172299311b55b1d4Ab3Bfa344e4e6EDd70F,​0x7B035331967075a168471DfBD23eD977f048f61E,​0x7b511800A8d8E7DE24Dd19de3103081824b6f41D,​0xa817732F85fC1210c7c0D1EA162952Dfe985f0Cf,​0x1e047B60bC238df472eA6d9774c9B9bf50133D4f,​0xCb2bbD8726F35cDb8e8F84dAc8ba4afce00dA867,Other
1556616633000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
1556684172000,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556750704000,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556818035000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557155617000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
1557223295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
1557291012000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,0.05
1557358549000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1557426851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1557494292000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02
1557561044000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1557628854000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1557695794000,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,
1557763956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,
1557964138000,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558032652000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,0.05,,,,
1558438516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558506088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1558910067000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1559045953000,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
1559112912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1559179166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1559315112000,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.20,1.06,,,,,,,,,,,,,,,,,,,,,,,,
1559382148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,0.20,,,,,,,,,,,,,,,,,,,,,0.10
1559449529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1559517685000,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1559653274000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,0.24
